Position,Level,Salary
level,1.000,0
level,1.001,0
level,1.002,0
level,1.003,0
level,1.004,0
level,1.005,0
level,1.006,0
level,1.007,0
level,1.008,0
level,1.009,0
level,1.010,0
level,1.011,0
level,1.012,0
level,1.013,0
level,1.014,0
level,1.015,0
level,1.016,0
level,1.017,0
level,1.018,0
level,1.019,0
level,1.020,0
level,1.021,0
level,1.022,0
level,1.023,0
level,1.024,0
level,1.025,0
level,1.026,0
level,1.027,0
level,1.028,0
level,1.029,0
level,1.030,0
level,1.031,0
level,1.032,0
level,1.033,0
level,1.034,0
level,1.035,0
level,1.036,0
level,1.037,0
level,1.038,0
level,1.039,0
level,1.040,0
level,1.041,0
level,1.042,0
level,1.043,0
level,1.044,0
level,1.045,0
level,1.046,0
level,1.047,0
level,1.048,0
level,1.049,0
level,1.050,0
level,1.051,0
level,1.052,0
level,1.053,0
level,1.054,0
level,1.055,0
level,1.056,0
level,1.057,0
level,1.058,0
level,1.059,0
level,1.060,0
level,1.061,0
level,1.062,0
level,1.063,0
level,1.064,0
level,1.065,0
level,1.066,0
level,1.067,0
level,1.068,0
level,1.069,0
level,1.070,0
level,1.071,0
level,1.072,0
level,1.073,0
level,1.074,0
level,1.075,0
level,1.076,0
level,1.077,0
level,1.078,0
level,1.079,0
level,1.080,0
level,1.081,0
level,1.082,0
level,1.083,0
level,1.084,0
level,1.085,0
level,1.086,0
level,1.087,0
level,1.088,0
level,1.089,0
level,1.090,0
level,1.091,0
level,1.092,0
level,1.093,0
level,1.094,0
level,1.095,0
level,1.096,0
level,1.097,0
level,1.098,0
level,1.099,0
level,1.100,0
level,1.101,0
level,1.102,0
level,1.103,0
level,1.104,0
level,1.105,0
level,1.106,0
level,1.107,0
level,1.108,0
level,1.109,0
level,1.110,0
level,1.111,0
level,1.112,0
level,1.113,0
level,1.114,0
level,1.115,0
level,1.116,0
level,1.117,0
level,1.118,0
level,1.119,0
level,1.120,0
level,1.121,0
level,1.122,0
level,1.123,0
level,1.124,0
level,1.125,0
level,1.126,0
level,1.127,0
level,1.128,0
level,1.129,0
level,1.130,0
level,1.131,0
level,1.132,0
level,1.133,0
level,1.134,0
level,1.135,0
level,1.136,0
level,1.137,0
level,1.138,0
level,1.139,0
level,1.140,0
level,1.141,0
level,1.142,0
level,1.143,0
level,1.144,0
level,1.145,0
level,1.146,0
level,1.147,0
level,1.148,0
level,1.149,0
level,1.150,0
level,1.151,0
level,1.152,0
level,1.153,0
level,1.154,0
level,1.155,0
level,1.156,0
level,1.157,0
level,1.158,0
level,1.159,0
level,1.160,0
level,1.161,0
level,1.162,0
level,1.163,0
level,1.164,0
level,1.165,0
level,1.166,0
level,1.167,0
level,1.168,0
level,1.169,0
level,1.170,0
